epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,1.0,,0.00931086577475071,,
0,71,,,,,,,0.8379888534545898,0.8077059388160706
0,71,,,0.9166666865348816,,0.6012481451034546,,,
1,99,,,,1.0,,4.35677393397782e-05,,
1,143,,,,,,,0.9608938694000244,0.17142102122306824
1,143,,,0.9285714030265808,,0.422775000333786,,,
2,149,,,,1.0,,0.028142612427473068,,
2,199,,,,0.8999999761581421,,0.5323977470397949,,
2,215,,,,,,,0.9608938694000244,0.10748544335365295
2,215,,,0.9523809552192688,,0.1503852903842926,,,
3,249,,,,1.0,,0.020301397889852524,,
3,287,,,,,,,0.9720670580863953,0.09917306900024414
3,287,,,0.9565826058387756,,0.14155320823192596,,,
4,299,,,,0.949999988079071,,0.12697497010231018,,
4,349,,,,1.0,,0.03184424713253975,,
4,359,,,,,,,0.9776536226272583,0.0710347592830658
4,359,,,0.9593837261199951,,0.1284405142068863,,,
5,399,,,,0.8999999761581421,,0.15888991951942444,,
5,431,,,,,,,0.9608938694000244,0.12143877893686295
5,431,,,0.9488795399665833,,0.13222232460975647,,,
6,449,,,,0.8999999761581421,,0.2663109302520752,,
6,499,,,,1.0,,0.017291560769081116,,
6,503,,,,,,,0.9385474920272827,0.129044771194458
6,503,,,0.9614846110343933,,0.11523362994194031,,,
7,549,,,,0.8999999761581421,,0.0974554717540741,,
7,575,,,,,,,0.9720670580863953,0.06906641274690628
7,575,,,0.9530812501907349,,0.12746745347976685,,,
8,599,,,,0.8999999761581421,,0.28321734070777893,,
8,647,,,,,,,0.9776536226272583,0.07632356137037277
8,647,,,0.9579831957817078,,0.12893234193325043,,,
9,649,,,,1.0,,0.09731818735599518,,
9,699,,,,0.949999988079071,,0.19244171679019928,,
9,719,,,,,,,0.9664804339408875,0.08416374772787094
9,719,,,0.9670868515968323,,0.10881931334733963,,,
10,749,,,,1.0,,0.019406182691454887,,
10,791,,,,,,,0.9720670580863953,0.07850862294435501
10,791,,,0.9621848464012146,,0.10534478724002838,,,
11,799,,,,1.0,,0.0169227197766304,,
11,849,,,,0.8999999761581421,,0.14287148416042328,,
11,863,,,,,,,0.9720670580863953,0.0740833580493927
11,863,,,0.9649859666824341,,0.10971871763467789,,,
12,899,,,,0.949999988079071,,0.0638425424695015,,
12,935,,,,,,,0.9720670580863953,0.0834803357720375
12,935,,,0.9628851413726807,,0.11347418278455734,,,
13,936,0.9664804339408875,0.11049734055995941,,,,,,
