epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,35,,,,,,,0.8314606547355652,0.33568257093429565
0,35,,,0.8792135119438171,,0.4019576609134674,,,
1,49,,,,0.949999988079071,,0.06898702681064606,,
1,71,,,,,,,0.9550561904907227,0.21084251999855042
1,71,,,0.9620786309242249,,0.0916040688753128,,,
2,99,,,,1.0,,0.01584569737315178,,
2,107,,,,,,,0.9438202381134033,0.17150384187698364
2,107,,,0.9859550595283508,,0.061423446983098984,,,
3,143,,,,,,,0.9550561904907227,0.22433827817440033
3,143,,,0.9634831547737122,,0.07678806781768799,,,
4,149,,,,0.949999988079071,,0.04241500794887543,,
4,179,,,,,,,0.9213483333587646,0.23218540847301483
4,179,,,0.9733145833015442,,0.08408667147159576,,,
5,199,,,,1.0,,0.016273299232125282,,
5,215,,,,,,,0.9550561904907227,0.2990233600139618
5,215,,,0.9705055952072144,,0.07479040324687958,,,
6,249,,,,0.949999988079071,,0.19229905307292938,,
6,251,,,,,,,0.898876428604126,0.16534747183322906
6,251,,,0.9733145833015442,,0.07886085659265518,,,
7,287,,,,,,,0.9438202381134033,0.2623858153820038
7,287,,,0.9817415475845337,,0.05457056686282158,,,
8,299,,,,1.0,,0.02404000610113144,,
8,323,,,,,,,0.9438202381134033,0.2033398598432541
8,323,,,0.9817415475845337,,0.055445875972509384,,,
9,349,,,,1.0,,0.0306155513972044,,
9,359,,,,,,,0.9438202381134033,0.15546205639839172
9,359,,,0.9803370833396912,,0.05481243133544922,,,
10,395,,,,,,,0.9550561904907227,0.2247582972049713
10,395,,,0.9901685118675232,,0.0427246056497097,,,
11,399,,,,0.949999988079071,,0.06691032648086548,,
11,431,,,,,,,0.9550561904907227,0.27781641483306885
11,431,,,0.9915730357170105,,0.03080614283680916,,,
12,449,,,,1.0,,0.020466500893235207,,
12,467,,,,,,,0.932584285736084,0.16922707855701447
12,467,,,0.9901685118675232,,0.03134777024388313,,,
13,499,,,,1.0,,0.008209358900785446,,
13,503,,,,,,,0.9550561904907227,0.18807469308376312
13,503,,,0.9901685118675232,,0.03933769837021828,,,
14,539,,,,,,,0.9550561904907227,0.18804319202899933
14,539,,,0.9985954761505127,,0.01968793198466301,,,
15,540,0.9666666388511658,0.0591820552945137,,,,,,
