,filename,aug,scores,original_height,original_width,boxes,count
0,Lorenz_Frølich_-_Landscape_with_a_Building_in_the_Background_-_KMS7045_-_Statens_Museum_for_Kunst.jpg,contrast,"[0.64453125, 0.46484375, 0.408203125, 0.451171875, 0.66796875]",457,768,"[[589.2261962890625, -0.4781590700149536, 766.4957885742188, 326.8823547363281], [1.6997909545898438, 0.3395653963088989, 525.8241577148438, 451.1693115234375], [1.7087974548339844, 54.98164749145508, 251.49554443359375, 380.0273742675781], [1.418060302734375, 55.03839874267578, 253.61190795898438, 454.82952880859375], [148.8699188232422, -0.7521900534629822, 523.843994140625, 78.25790405273438]]",5
1,Johan_Christian_Dahl_-_Study_of_a_Birch_Tree_-_Google_Art_Project.jpg,contrast,[0.81640625],1500,1094,"[[203.60523986816406, -2.8409509658813477, 916.747314453125, 1416.408935546875]]",1
2,Dahl_Joh._Chr._View_from_Pimonte_of_Neapel@Kunsthalle_Hamburg.JPG,contrast,"[0.52734375, 0.6953125, 0.55078125, 0.80078125]",958,1500,"[[15.835504531860352, 224.80699157714844, 147.25537109375, 411.2769470214844], [180.37652587890625, 88.29397583007812, 326.3916320800781, 415.00152587890625], [13.332427978515625, 225.1313934326172, 157.2873077392578, 542.0084228515625], [7.784374237060547, 25.422304153442383, 389.0093688964844, 542.1344604492188]]",4
3,Johan_Christian_Dahl_-_View_from_the_Bastei_in_the_Sächsische_Schweiz_-_DFG.0058_-_Drammens_Museum.png,contrast,[],789,1321,[],0
4,"Christen_Dalsgaard_-_En_ung_Pige,_der_vifter_Farvel_-_1856.png",contrast,[0.78125],1116,1500,"[[9.378701210021973, -16.101770401000977, 1339.930908203125, 814.1251220703125]]",1
5,"Carl_Baagøe_-_Kysten_ved_Laboe,_Kielerfjorden_-_1859.jpg",contrast,[0.9140625],1072,1500,"[[884.035888671875, 517.8054809570312, 1183.9088134765625, 757.115478515625]]",1
6,Carl_Gustav_Carus_Der_Erlkönig.jpg,contrast,"[0.57421875, 0.48828125]",1500,1131,"[[799.7735595703125, 935.0457763671875, 969.2494506835938, 1132.9014892578125], [146.60098266601562, 931.5953979492188, 351.9919738769531, 1200.835205078125]]",2
7,Lars_Hertervig_-_Fra_Hindal_(sjøsiden)_-_Stavanger_kunstmuseum_-_SG.0653.jpg,contrast,[0.60546875],468,668,"[[457.20623779296875, 251.69052124023438, 482.011474609375, 299.58575439453125]]",1
8,Carl_Frederik_Aagaard_-_Parti_fra_Møens_Klint_-_1861.jpg,contrast,"[0.53515625, 0.40234375]",827,1500,"[[1131.7076416015625, 296.0133056640625, 1497.603515625, 731.67041015625], [-2.0093321800231934, -4.731712818145752, 303.06982421875, 706.2783813476562]]",2
9,Werner%20Holmberg%20-%20Erkrath%20Church%2C%20study%20-%20A%20I%20471-58%20-%20Finnish%20National%20Gallery.jpg,contrast,[],1093,1500,[],0
