,filename,aug,scores,original_height,original_width,boxes,count
0,Lorenz_Frølich_-_Landscape_with_a_Building_in_the_Background_-_KMS7045_-_Statens_Museum_for_Kunst.jpg,Canny_sketch,[],457,768,[],0
1,Johan_Christian_Dahl_-_Study_of_a_Birch_Tree_-_Google_Art_Project.jpg,Canny_sketch,"[0.55078125, 0.53515625]",1500,1094,"[[69.55463409423828, -2.811044454574585, 963.2352905273438, 1472.1741943359375], [203.53269958496094, -1.9481778144836426, 947.4219970703125, 1416.727294921875]]",2
2,Dahl_Joh._Chr._View_from_Pimonte_of_Neapel@Kunsthalle_Hamburg.JPG,Canny_sketch,[0.70703125],958,1500,"[[0.7109642028808594, 12.168033599853516, 389.75433349609375, 435.2202453613281]]",1
3,Johan_Christian_Dahl_-_View_from_the_Bastei_in_the_Sächsische_Schweiz_-_DFG.0058_-_Drammens_Museum.png,Canny_sketch,[],789,1321,[],0
4,"Christen_Dalsgaard_-_En_ung_Pige,_der_vifter_Farvel_-_1856.png",Canny_sketch,[0.443359375],1116,1500,"[[8.308500289916992, -6.9975433349609375, 1350.2847900390625, 667.5180053710938]]",1
5,"Carl_Baagøe_-_Kysten_ved_Laboe,_Kielerfjorden_-_1859.jpg",Canny_sketch,"[0.51171875, 0.6484375]",1072,1500,"[[168.84674072265625, 731.6207885742188, 190.8789825439453, 772.8442993164062], [887.3430786132812, 516.0245361328125, 1187.16650390625, 787.8125610351562]]",2
6,Carl_Gustav_Carus_Der_Erlkönig.jpg,Canny_sketch,[],1500,1131,[],0
7,Lars_Hertervig_-_Fra_Hindal_(sjøsiden)_-_Stavanger_kunstmuseum_-_SG.0653.jpg,Canny_sketch,[],468,668,[],0
8,Carl_Frederik_Aagaard_-_Parti_fra_Møens_Klint_-_1861.jpg,Canny_sketch,[],827,1500,[],0
9,Werner%20Holmberg%20-%20Erkrath%20Church%2C%20study%20-%20A%20I%20471-58%20-%20Finnish%20National%20Gallery.jpg,Canny_sketch,[],1093,1500,[],0
10,P._C._Skovgaard_-_Stille_Sommeraften_ved_en_Indsø.png,Canny_sketch,[],1182,1500,[],0
11,"Turner_-_Regulus,_1828,_reworked_1837,_N00519.jpg",Canny_sketch,[],1095,1500,[],0
12,"F._C._Kiærskou_-_Forest_scene_in_Jægersborg_Dyrehave,_Copenhagen_(1854).jpg",Canny_sketch,[0.41015625],848,1200,"[[325.7878723144531, 498.6844482421875, 400.72900390625, 618.8297119140625]]",1
13,"Johan_Christian_Dahl_-_Nordic_Landscape_with_a_dead_Tree_-_NG.M.00410_-_National_Museum_of_Art,_Architecture_and_Design.jpg",Canny_sketch,[],1223,1500,[],0
14,Carl_Frederik_Aagaard_-_Gamle_Piletræer_ved_en_Indsø.png,Canny_sketch,[0.43359375],1014,1500,"[[1342.7496337890625, 270.4115905761719, 1497.1768798828125, 469.27130126953125]]",1
15,Hans_Gude_-_En_innsjø_landskapet_(1861).jpg,Canny_sketch,[],1009,1500,[],0
16,Carl_Frederik_Aagaard_-_Fjordparti_-_1874.jpg,Canny_sketch,"[0.5, 0.46875]",974,1400,"[[803.08837890625, 549.1040649414062, 952.5674438476562, 687.6493530273438], [802.9501342773438, 549.8731689453125, 952.886474609375, 883.680908203125]]",2
17,"Joseph_Mallord_William_Turner_(1775-1851)_-_House_beside_the_River,_with_Trees_and_Sheep_-_N02694_-_National_Gallery.jpg",Canny_sketch,"[0.40234375, 0.578125, 0.51171875, 0.484375, 0.421875]",840,1154,"[[359.81982421875, 360.4698791503906, 566.9136352539062, 579.9609375], [0.21443337202072144, 31.18152618408203, 146.73794555664062, 403.3763122558594], [110.24382781982422, 94.85596466064453, 362.5708312988281, 425.587890625], [578.0848999023438, 286.0206298828125, 707.9690551757812, 471.9409484863281], [824.9144897460938, 284.0812072753906, 930.8069458007812, 579.621337890625]]",5
18,18264-image.jpg,Canny_sketch,[],497,755,[],0
19,"Johan_Christian_Dahl_-_View_at_Larsens_Plads_Copenhagen_-_NG.M.00426-013_-_National_Museum_of_Art,_Architecture_and_Design.jpg",Canny_sketch,[],714,999,[],0
20,Anton_Dorph_-_Arbejdsiver._To_tvillingepiger_siddende_i_en_klit_med_strikketøjet.png,Canny_sketch,[],1185,1500,[],0
21,Hans_Gude_Hønefoss_1893.JPG,Canny_sketch,[],387,602,[],0
22,J.M.W._Turner_-_Off_Margate.jpg,Canny_sketch,[],626,956,[],0
23,"Hans_Gude_-_From_Hallingdal_-_NG.M.01980_-_National_Museum_of_Art,_Architecture_and_Design.jpg",Canny_sketch,[],690,1012,[],0
24,Joseph_Mallord_William_Turner_(1775-1851)_-_Narcissus_and_Echo_-_T03869_-_Tate.jpg,Canny_sketch,[],836,1114,[],0
