,filename,aug,scores,original_height,original_width,boxes,count
0,Lorenz_Frølich_-_Landscape_with_a_Building_in_the_Background_-_KMS7045_-_Statens_Museum_for_Kunst.jpg,strong_grain,[0.578125],457,768,"[[593.9552001953125, -1.2452319860458374, 767.480224609375, 317.9970703125]]",1
1,Johan_Christian_Dahl_-_Study_of_a_Birch_Tree_-_Google_Art_Project.jpg,strong_grain,"[0.515625, 0.404296875]",1500,1094,"[[8.908906936645508, -0.8804351091384888, 1092.6904296875, 1492.3310546875], [14.635819435119629, -1.657247543334961, 910.3901977539062, 1486.5943603515625]]",2
2,Dahl_Joh._Chr._View_from_Pimonte_of_Neapel@Kunsthalle_Hamburg.JPG,strong_grain,"[0.421875, 0.703125]",958,1500,"[[-0.17724372446537018, 94.05772399902344, 144.60731506347656, 955.4925537109375], [1.1081993579864502, 1.8485387563705444, 390.578369140625, 585.4100952148438]]",2
3,Johan_Christian_Dahl_-_View_from_the_Bastei_in_the_Sächsische_Schweiz_-_DFG.0058_-_Drammens_Museum.png,strong_grain,[],789,1321,[],0
4,"Christen_Dalsgaard_-_En_ung_Pige,_der_vifter_Farvel_-_1856.png",strong_grain,[0.6171875],1116,1500,"[[17.459571838378906, -4.1844305992126465, 1342.3629150390625, 840.7295532226562]]",1
5,"Carl_Baagøe_-_Kysten_ved_Laboe,_Kielerfjorden_-_1859.jpg",strong_grain,[0.66015625],1072,1500,"[[902.671630859375, 518.1976318359375, 1183.203857421875, 750.634521484375]]",1
6,Carl_Gustav_Carus_Der_Erlkönig.jpg,strong_grain,"[0.421875, 0.5546875, 0.421875, 0.65625]",1500,1131,"[[23.1929874420166, 930.46337890625, 355.94122314453125, 1220.7078857421875], [794.2890625, 937.8201904296875, 960.77734375, 1140.9722900390625], [21.996400833129883, 1058.2459716796875, 173.4921417236328, 1227.06103515625], [110.52729034423828, 930.3081665039062, 354.7540588378906, 1204.1221923828125]]",4
7,Lars_Hertervig_-_Fra_Hindal_(sjøsiden)_-_Stavanger_kunstmuseum_-_SG.0653.jpg,strong_grain,[],468,668,[],0
8,Carl_Frederik_Aagaard_-_Parti_fra_Møens_Klint_-_1861.jpg,strong_grain,[],827,1500,[],0
9,Werner%20Holmberg%20-%20Erkrath%20Church%2C%20study%20-%20A%20I%20471-58%20-%20Finnish%20National%20Gallery.jpg,strong_grain,[],1093,1500,[],0
10,P._C._Skovgaard_-_Stille_Sommeraften_ved_en_Indsø.png,strong_grain,"[0.5078125, 0.490234375, 0.51171875, 0.431640625]",1182,1500,"[[527.6802978515625, -2.001138210296631, 1500.168212890625, 936.246826171875], [360.3152770996094, 512.8368530273438, 579.9166259765625, 747.9150390625], [-2.993032455444336, 0.651088535785675, 450.4672546386719, 1115.010498046875], [-0.8769482374191284, 0.8531644344329834, 451.88055419921875, 498.8363952636719]]",4
11,"Turner_-_Regulus,_1828,_reworked_1837,_N00519.jpg",strong_grain,[],1095,1500,[],0
