epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,35,,,,,,,0.9438202381134033,0.28173553943634033
0,35,,,0.8806179761886597,,0.27971065044403076,,,
1,49,,,,1.0,,0.006138970609754324,,
1,71,,,,,,,0.9101123809814453,0.5425652265548706
1,71,,,0.9466292262077332,,0.12084559351205826,,,
2,99,,,,0.8999999761581421,,0.1523101031780243,,
2,107,,,,,,,0.9550561904907227,0.23918882012367249
2,107,,,0.9620786309242249,,0.10775397717952728,,,
3,143,,,,,,,0.9550561904907227,0.3512168824672699
3,143,,,0.9634831547737122,,0.08431107550859451,,,
4,149,,,,0.949999988079071,,0.03537576645612717,,
4,179,,,,,,,0.9101123809814453,0.18486042320728302
4,179,,,0.9634831547737122,,0.0879318118095398,,,
5,199,,,,1.0,,0.03556269034743309,,
5,215,,,,,,,0.9438202381134033,0.20325209200382233
5,215,,,0.9803370833396912,,0.05991785600781441,,,
6,249,,,,1.0,,0.008818449452519417,,
6,251,,,,,,,0.966292142868042,0.18605279922485352
6,251,,,0.9775280952453613,,0.06760255247354507,,,
7,287,,,,,,,0.9438202381134033,0.14586204290390015
7,287,,,0.976123571395874,,0.061377182602882385,,,
8,299,,,,1.0,,0.023227939382195473,,
8,323,,,,,,,0.9550561904907227,0.18896253407001495
8,323,,,0.9859550595283508,,0.046318456530570984,,,
9,349,,,,1.0,,0.007459371816366911,,
9,359,,,,,,,0.9550561904907227,0.2603946924209595
9,359,,,0.992977499961853,,0.028572406619787216,,,
10,395,,,,,,,0.9550561904907227,0.22228485345840454
10,395,,,0.9915730357170105,,0.03013615310192108,,,
11,399,,,,0.949999988079071,,0.11142376810312271,,
11,431,,,,,,,0.9550561904907227,0.3185325860977173
11,431,,,0.9873595237731934,,0.040144696831703186,,,
12,449,,,,1.0,,0.08406881988048553,,
12,467,,,,,,,0.9550561904907227,0.3108721375465393
12,467,,,0.9817415475845337,,0.04189740866422653,,,
13,468,0.9777777791023254,0.07650937139987946,,,,,,
