epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,36,,,,,,,0.8681318759918213,0.7668803930282593
0,36,,,0.8109589219093323,,1.200554609298706,,,
1,49,,,,0.8999999761581421,,0.16985222697257996,,
1,73,,,,,,,0.901098906993866,0.1970239132642746
1,73,,,0.8726027607917786,,0.4038040339946747,,,
2,99,,,,0.800000011920929,,0.6831744909286499,,
2,110,,,,,,,0.901098906993866,0.2047041654586792
2,110,,,0.8835616707801819,,0.284076064825058,,,
3,147,,,,,,,0.8681318759918213,0.2931235134601593
3,147,,,0.8904109597206116,,0.2766873836517334,,,
4,149,,,,0.8999999761581421,,0.12662535905838013,,
4,184,,,,,,,0.901098906993866,0.35949066281318665
4,184,,,0.8849315047264099,,0.2639370262622833,,,
5,199,,,,0.8500000238418579,,0.3557606041431427,,
5,221,,,,,,,0.8791208863258362,0.2604964077472687
5,221,,,0.8945205211639404,,0.2622486650943756,,,
6,249,,,,0.949999988079071,,0.07807554304599762,,
6,258,,,,,,,0.8791208863258362,0.25752195715904236
6,258,,,0.8835616707801819,,0.2663976550102234,,,
7,259,0.8695651888847351,0.24639266729354858,,,,,,
