epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,31,,,,,,,0.8539325594902039,0.3060174286365509
0,31,,,0.7640449404716492,,0.9160153269767761,,,
1,49,,,,0.8999999761581421,,0.43163949251174927,,
1,63,,,,,,,0.9101123809814453,0.289808452129364
1,63,,,0.8667736649513245,,0.31763342022895813,,,
2,95,,,,,,,0.9550561904907227,0.1401163637638092
2,95,,,0.8924558758735657,,0.2655249834060669,,,
3,99,,,,0.949999988079071,,0.08766596019268036,,
3,127,,,,,,,0.9213483333587646,0.1787051111459732
3,127,,,0.9101123809814453,,0.21466536819934845,,,
4,149,,,,0.949999988079071,,0.12488626688718796,,
4,159,,,,,,,0.898876428604126,0.1504456102848053
4,159,,,0.9357945322990417,,0.16740143299102783,,,
5,191,,,,,,,0.932584285736084,0.19449688494205475
5,191,,,0.9229534268379211,,0.18618495762348175,,,
6,199,,,,1.0,,0.05294392630457878,,
6,223,,,,,,,0.898876428604126,0.189396932721138
6,223,,,0.9534510374069214,,0.11697617918252945,,,
7,249,,,,0.8999999761581421,,0.19557729363441467,,
7,255,,,,,,,0.9438202381134033,0.13549543917179108
7,255,,,0.9550561904907227,,0.10930123180150986,,,
8,287,,,,,,,0.898876428604126,0.17707814276218414
8,287,,,0.9534510374069214,,0.12095610052347183,,,
9,299,,,,1.0,,0.02376142330467701,,
9,319,,,,,,,0.9101123809814453,0.1607404351234436
9,319,,,0.9582664370536804,,0.1117149069905281,,,
10,349,,,,1.0,,0.06126205995678902,,
10,351,,,,,,,0.9213483333587646,0.24787819385528564
10,351,,,0.9646869897842407,,0.08618219196796417,,,
11,383,,,,,,,0.966292142868042,0.2031683325767517
11,383,,,0.9775280952453613,,0.0616120882332325,,,
12,399,,,,1.0,,0.043539416044950485,,
12,415,,,,,,,0.9101123809814453,0.1721057891845703
12,415,,,0.971107542514801,,0.08016391843557358,,,
13,416,0.916201114654541,0.2790510654449463,,,,,,
