epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,31,,,,,,,0.932584285736084,1.1084775924682617
0,31,,,0.908507227897644,,0.5526284575462341,,,
1,49,,,,1.0,,0.018911486491560936,,
1,63,,,,,,,0.9550561904907227,0.3992670178413391
1,63,,,0.9438202381134033,,0.27173781394958496,,,
2,95,,,,,,,0.9101123809814453,0.3831910490989685
2,95,,,0.9678972959518433,,0.17210832238197327,,,
3,99,,,,1.0,,0.03032549098134041,,
3,127,,,,,,,0.9550561904907227,0.38243934512138367
3,127,,,0.9454253315925598,,0.19136448204517365,,,
4,149,,,,1.0,,0.09940044581890106,,
4,159,,,,,,,0.9438202381134033,0.2641911804676056
4,159,,,0.9791332483291626,,0.05508509650826454,,,
5,191,,,,,,,0.9438202381134033,0.3041733205318451
5,191,,,0.9839486479759216,,0.05016264691948891,,,
6,199,,,,0.949999988079071,,0.11410263180732727,,
6,223,,,,,,,0.9550561904907227,0.26857805252075195
6,223,,,0.9855538010597229,,0.04726780951023102,,,
7,249,,,,0.949999988079071,,0.1552995890378952,,
7,255,,,,,,,0.9213483333587646,0.14825494587421417
7,255,,,0.9743177890777588,,0.06563470512628555,,,
8,287,,,,,,,0.9438202381134033,0.1796889305114746
8,287,,,0.9695023894309998,,0.08443262428045273,,,
9,299,,,,1.0,,0.0466865710914135,,
9,319,,,,,,,0.9550561904907227,0.33584800362586975
9,319,,,0.9807383418083191,,0.04612468555569649,,,
10,349,,,,1.0,,0.014303574338555336,,
10,351,,,,,,,0.9438202381134033,0.4032038152217865
10,351,,,0.9903692007064819,,0.028485190123319626,,,
11,383,,,,,,,0.9438202381134033,0.17671659588813782
11,383,,,0.995184600353241,,0.02136940509080887,,,
12,399,,,,0.949999988079071,,0.06073356047272682,,
12,415,,,,,,,0.9550561904907227,0.3171108663082123
12,415,,,0.9871588945388794,,0.04040761664509773,,,
13,416,0.9832402467727661,0.1150747686624527,,,,,,
